DATE,Food_CPI,Lumber_PPI,Unemployment_Rate,Crude_Oil_WTI,Median_Home_Sales_Price,CPI_All_Urban_Consumers,Median_Household_Income,Federal_Minimum_Wage,Treasury_10yr,Treasury_2yr,PCE_Price_Index,Federal_Funds_Rate,M2_Money_Supply,Industrial_Production_Index,Retail_Sales,Credit_Card_Delinquency_Rate,Mortgage_Rate_30yr,Case_Shiller_Home_Price_Index,High_Yield_Credit_Spread,Student_Loan_Debt,Federal_Debt_Total,GDP_Growth_Rate,SP500,Gold_Price,Housing_Affordability_Index
1973-12,51.9,65.4,4.9,,34000.0,46.3,,1.6,6.7436842105263155,,23.3,9.95,855.5,45.923,,,8.5375,,,,469073.0,0.9492308406954919,,,
1974-01,52.5,64.5,5.1,,35200.0,46.8,,1.6,6.988636363636363,,23.523,9.65,859.7,45.6204,,,8.54,,,,473675.0,-0.8597052648146919,,,
1974-02,53.6,64.6,5.2,,34000.0,47.3,,1.6,6.957222222222223,,23.797,8.97,864.2,45.4759,,,8.455,,,,469073.0,-0.8597052648146919,,,
1974-03,54.2,67.2,5.1,,35200.0,47.8,,1.6,7.2090476190476185,,24.073,9.35,870.1,45.4777,,,8.406,,,,473675.0,-0.8597052648146919,,,
1974-04,54.1,70.3,5.1,,35600.0,48.1,,1.6,7.512380952380952,,24.243,10.51,872.9,45.3451,,,8.5825,,,,474235.0,0.23769701068907523,,,
1974-05,54.5,69.5,5.1,,35200.0,48.6,,2.0,7.57590909090909,,24.482,11.31,874.6,45.7044,,,8.972,,,,473675.0,0.23769701068907523,,,
1974-06,54.5,67.5,5.4,,35600.0,49.0,,2.0,7.535500000000001,,24.69,11.93,877.8,45.6238,,,9.085,,,,474235.0,0.23769701068907523,,,
1974-07,54.3,66.2,5.5,,36200.0,49.3,,2.0,7.805000000000001,,24.872,12.92,881.4,45.7221,,,9.28,,,,481466.0,-0.9452773845007756,,,
1974-08,55.1,64.5,5.5,,35600.0,49.9,,2.0,8.04409090909091,,25.132,12.01,884.1,45.2366,,,9.586,,,,474235.0,-0.9452773845007756,,,
1974-09,56.2,63.4,5.9,,36200.0,50.6,,2.0,8.0375,,25.393,11.34,887.9,45.2365,,,9.9575,,,,481466.0,-0.9452773845007756,,,
1974-10,56.8,59.5,6.0,,37200.0,51.0,,2.0,7.8968181818181815,,25.575,10.06,893.3,45.1133,,,9.9775,,,,492664.0,-0.38840577220465855,,,
1974-11,57.5,58.2,6.6,,36200.0,51.5,,2.0,7.681111111111111,,25.767,9.45,898.6,43.6278,,,9.788,,,,481466.0,-0.38840577220465855,,,
1974-12,58.2,58.1,7.2,,37200.0,51.9,,2.0,7.433809523809523,,25.971,8.53,902.1,42.0533,,,9.615,,,,492664.0,-0.38840577220465855,,,
1975-01,58.4,57.9,8.1,,38100.0,52.3,,2.1,7.501363636363636,,26.132,7.13,906.3,41.4676,,,9.431999999999999,,,,509659.0,-1.2176343312886084,,,
1975-02,58.5,59.5,8.1,,37200.0,52.6,,2.1,7.392222222222222,,26.274,6.24,914.1,40.5165,,,9.105,,,,492664.0,-1.2176343312886084,,,
1975-03,58.4,59.6,8.6,,38100.0,52.8,,2.1,7.728,,26.363,5.54,925.0,40.0638,,,8.9025,,,,509659.0,-1.2176343312886084,,,
1975-04,58.3,61.4,8.8,,39000.0,53.0,,2.1,8.226818181818182,,26.452,5.49,935.1,40.1573,,,8.82,,,,533188.0,0.7147011894339972,,,
1975-05,58.6,64.3,9.0,,38100.0,53.1,,2.1,8.05952380952381,,26.558,5.22,947.9,40.0253,,,8.906,,,,509659.0,0.7147011894339972,,,
1975-06,59.2,63.6,8.8,,39000.0,53.5,,2.1,7.860952380952382,,26.724,5.55,963.0,40.2772,,,8.8925,,,,533188.0,0.7147011894339972,,,
1975-07,60.3,63.1,8.6,,38800.0,54.0,,2.1,8.061363636363636,,26.953,6.1,975.1,40.6994,,,8.89,,,,553647.0,1.712044616233399,,,
1975-08,60.3,63.1,8.4,,39000.0,54.2,,2.1,8.397619047619047,,27.07,6.14,983.1,41.0998,,,8.942,,,,533188.0,1.712044616233399,,,
1975-09,60.7,63.2,8.4,,38800.0,54.6,,2.1,8.426666666666668,,27.204,6.24,991.5,41.6304,,,9.13,,,,553647.0,1.712044616233399,,,
1975-10,61.3,62.9,8.4,,41200.0,54.9,,2.1,8.137727272727274,,27.362,5.82,997.8,41.8135,,,9.224,,,,576649.0,1.3470928953975836,,,
1975-11,61.7,62.6,8.3,,38800.0,55.3,,2.1,8.052941176470588,,27.538,5.22,1006.9,41.8697,,,9.145,,,,553647.0,1.3470928953975836,,,
1975-12,62.1,64.3,8.2,,41200.0,55.6,,2.1,7.996818181818182,,27.69,5.2,1016.2,42.4414,,,9.0975,,,,576649.0,1.3470928953975836,,,
1976-01,61.9,67.0,7.9,,42800.0,55.8,,2.3,7.742380952380953,,27.795,4.87,1026.6,43.0012,,,9.016,,,,600490.0,2.249467623247048,,,
1976-02,61.3,68.9,7.7,,41200.0,55.9,,2.3,7.792777777777778,,27.831,4.77,1040.3,43.4229,,,8.8125,,,,576649.0,2.249467623247048,,,
1976-03,60.9,71.1,7.6,,42800.0,56.0,,2.3,7.734347826086956,,27.873,4.84,1050.0,43.5168,,,8.754999999999999,,,,600490.0,2.249467623247048,,,
1976-04,60.9,71.4,7.7,,44200.0,56.1,,2.3,7.564285714285714,,27.936,4.82,1060.8,43.7327,,,8.73,,,,620432.0,0.7333740376798126,,,
1976-05,61.1,71.1,7.4,,42800.0,56.4,,2.3,7.8950000000000005,,28.069,5.29,1072.1,43.9186,,,8.765,,,,600490.0,0.7333740376798126,,,
1976-06,61.3,70.2,7.6,,44200.0,56.7,,2.3,7.861363636363635,7.06,28.192,5.48,1077.6,43.9637,,,8.8475,,,,620432.0,0.7333740376798126,,,
1976-07,61.6,71.5,7.8,,44400.0,57.0,,2.3,7.831904761904762,6.85,28.335,5.31,1086.3,44.2141,,,8.934000000000001,,,,634701.0,0.5474075847426096,,,
1976-08,61.8,72.9,7.8,,44200.0,57.3,,2.3,7.768636363636364,6.631363636363636,28.491,5.29,1098.7,44.5182,,,9.0,,,,620432.0,0.5474075847426096,,,
1976-09,62.1,74.7,7.6,,44400.0,57.6,,2.3,7.594285714285713,6.416190476190477,28.651,5.25,1110.8,44.6721,,,8.977500000000001,,,,634701.0,0.5474075847426096,,,
1976-10,62.4,75.0,7.7,,45500.0,57.9,,2.3,7.411,5.984,28.801,5.02,1125.0,44.6585,,,8.93,,,,653543.0,0.7226035711748402,,,
1976-11,62.3,75.3,7.8,,44400.0,58.1,,2.3,7.291052631578947,5.81,28.932,4.95,1138.2,45.3392,,,8.8125,,,,634701.0,0.7226035711748402,,,
1976-12,62.5,77.3,7.8,,45500.0,58.4,,2.3,6.869090909090909,5.376818181818181,29.094,4.65,1152.0,45.8294,,,8.792,,,,653543.0,0.7226035711748402,,,
1977-01,62.7,78.2,7.5,,46300.0,58.7,,2.3,7.213333333333333,5.899523809523809,29.263,4.61,1165.2,45.5087,,,8.7225,,,,669207.0,1.1862331478426524,,,
1977-02,63.9,78.8,7.6,,45500.0,59.3,,2.3,7.3910526315789475,6.0884210526315785,29.492,4.68,1177.6,46.2277,,,8.67,,,,653543.0,1.1862331478426524,,,
1977-03,64.2,80.4,7.4,,46300.0,59.6,,2.3,7.460000000000001,6.086521739130435,29.64,4.69,1188.5,46.8185,,,8.6875,,,,669207.0,1.1862331478426524,,,
1977-04,65.0,80.7,7.2,,48900.0,60.0,,2.3,7.3705,5.9635,29.812,4.73,1199.6,47.2684,,,8.751999999999999,,,,674425.0,1.9419235219494402,,,
1977-05,65.3,80.6,7.0,,46300.0,60.2,,2.3,7.456666666666667,6.254761904761905,29.963,5.35,1209.0,47.6411,,,8.8275,,,,669207.0,1.9419235219494402,,,
1977-06,65.7,80.3,7.2,,48900.0,60.5,,2.3,7.275454545454545,6.127272727272728,30.131,5.39,1217.8,48.0116,,,8.8575,,,,674425.0,1.9419235219494402,,,
1977-07,65.9,82.7,6.9,,48800.0,60.8,,2.3,7.330000000000001,6.274736842105263,30.287,5.42,1226.7,48.073,,,8.941999999999998,,,,698840.0,1.8031649722156429,,,
1977-08,66.2,85.3,7.0,,48900.0,61.1,,2.3,7.396521739130435,6.611304347826087,30.428,5.9,1237.0,48.1205,,,8.94,,,,674425.0,1.8031649722156429,,,
1977-09,66.4,88.8,6.8,,48800.0,61.3,,2.3,7.343809523809524,6.714285714285714,30.543,6.14,1246.2,48.3189,,,8.896,,,,698840.0,1.8031649722156429,,,
1977-10,66.6,87.0,6.8,,51600.0,61.6,,2.3,7.5235,7.106,30.685,6.47,1254.0,48.3871,,,8.9225,,,,718943.0,0.001992779642701059,,,
1977-11,67.1,85.5,6.8,,48800.0,62.0,,2.3,7.577368421052632,7.142631578947369,30.861,6.51,1262.4,48.4761,,,8.9225,,,,698840.0,0.001992779642701059,,,
1977-12,67.4,87.5,6.4,,51600.0,62.3,,2.3,7.685238095238095,7.176666666666667,31.011,6.56,1270.3,48.5629,,,8.959999999999999,,,,718943.0,0.001992779642701059,,,
1978-01,67.9,90.0,6.4,,53000.0,62.7,,2.65,7.956190476190477,7.485714285714285,31.194,6.7,1279.7,47.8481,,,9.015,,,,737951.0,0.319842139570925,,,
1978-02,68.6,92.6,6.3,,51600.0,63.0,,2.65,8.033333333333333,7.5649999999999995,31.339,6.78,1285.5,48.1044,,,9.145,,,,718943.0,0.319842139570925,,,
1978-03,69.5,93.5,6.3,,53000.0,63.4,,2.65,8.03590909090909,7.575,31.542,6.79,1292.2,49.0265,,,9.202000000000002,,,,737951.0,0.319842139570925,,,
1978-04,70.6,94.7,6.1,,55300.0,63.9,,2.65,8.154,7.7435,31.781,6.89,1300.4,50.0206,,,9.355,,,,749024.0,3.864772683799611,,,
1978-05,71.6,96.0,6.0,,53000.0,64.5,,2.65,8.345714285714285,8.006190476190476,32.008,7.36,1310.5,50.254,,,9.5725,,,,737951.0,3.864772683799611,,,
1978-06,72.7,97.8,5.9,,55300.0,65.0,,2.65,8.462272727272728,8.239545454545453,32.217,7.6,1318.5,50.5801,,,9.708,,,,749024.0,3.864772683799611,,,
1978-07,73.0,97.4,6.2,,56100.0,65.5,,2.65,8.64,8.4895,32.393,7.81,1324.1,50.5384,,,9.74,,,,771544.0,1.0057487547670219,,,
1978-08,73.3,98.9,5.9,,55300.0,65.9,,2.65,8.410869565217391,8.366521739130436,32.557,8.04,1333.5,50.7458,,,9.785,,,,749024.0,1.0057487547670219,,,
1978-09,73.6,99.3,6.0,,56100.0,66.5,,2.65,8.416500000000001,8.5655,32.742,8.45,1345.0,50.8744,,,9.756,,,,771544.0,1.0057487547670219,,,
1978-10,74.2,99.8,5.8,,59000.0,67.1,,2.65,8.642380952380952,8.853809523809524,33.003,8.96,1352.3,51.2559,,,9.8575,,,,789207.0,1.3441254208500286,,,
1978-11,74.7,101.9,5.9,,56100.0,67.5,,2.65,8.805,9.4245,33.19,9.76,1359.1,51.6514,,,10.1075,,,,771544.0,1.3441254208500286,,,
1978-12,75.1,101.4,6.0,,59000.0,67.9,,2.65,9.006499999999999,9.7155,33.345,10.03,1366.0,51.909,,,10.346,,,,789207.0,1.3441254208500286,,,
1979-01,76.4,101.9,5.9,,60600.0,68.5,,2.9,9.099545454545455,9.86,33.597,10.07,1371.6,51.6278,,,10.39,,,,796792.0,0.17959381379095696,,,
1979-02,77.7,103.2,5.9,,59000.0,69.2,,2.9,9.098333333333333,9.716666666666667,33.776,10.06,1377.8,51.8752,,,10.4075,,,,789207.0,0.17959381379095696,,,
1979-03,78.4,105.5,5.8,,60600.0,69.9,,2.9,9.117272727272727,9.789545454545454,34.04,10.09,1387.8,52.0446,,,10.425999999999998,,,,796792.0,0.17959381379095696,,,
1979-04,79.0,107.1,5.8,,63100.0,70.6,,2.9,9.181999999999999,9.7785,34.395,10.01,1402.1,51.4193,,,10.4975,,,,804913.0,0.10674528822540719,,,
1979-05,79.7,106.4,5.6,,60600.0,71.4,,2.9,9.252380952380953,9.783809523809524,34.751,10.24,1410.2,51.8856,,,10.69,,,,796792.0,0.10674528822540719,,,
1979-06,80.0,105.3,5.7,,63100.0,72.2,,2.9,8.913809523809524,9.220476190476191,35.038,10.29,1423.0,51.8965,,,11.036,,,,804913.0,0.10674528822540719,,,
1979-07,80.5,105.4,5.7,,64700.0,73.0,,2.9,8.95,9.137619047619047,35.305,10.47,1434.8,51.8097,,,11.092500000000001,,,,826519.0,0.7428046876444716,,,
1979-08,80.4,107.0,6.0,,63100.0,73.7,,2.9,9.029565217391305,9.458695652173914,35.575,10.94,1446.6,51.4684,,,11.094,,,,804913.0,0.7428046876444716,,,
1979-09,80.9,108.8,5.9,,64700.0,74.4,,2.9,9.334736842105263,10.056315789473684,35.889,11.43,1454.1,51.4597,,,11.3,,,,826519.0,0.7428046876444716,,,
1979-10,81.5,108.5,6.0,,62600.0,75.2,,2.9,10.299090909090909,11.489545454545455,36.182,13.77,1460.4,51.8334,,,11.6375,,,,845116.0,0.2500451694941619,,,
1979-11,82.0,105.0,5.9,,64700.0,76.0,,2.9,10.653157894736841,11.808421052631578,36.433,13.18,1465.9,51.7531,,,12.830000000000002,,,,826519.0,0.2500451694941619,,,
1979-12,82.8,101.9,6.0,,62600.0,76.9,,2.9,10.386,11.3905,36.739,13.78,1473.7,51.7878,,,12.9,,,,845116.0,0.2500451694941619,,,
